id,label
301118,1
300277,2
301589,1
303135,1
303052,2
301767,2
302619,1
303090,1
303346,2
301793,1
301080,1
303037,2
300634,1
300094,1
303338,1
300960,1
301168,1
304144,1
300155,1
300126,1
301208,1
301492,1
303626,2
301004,1
301599,1
303971,1
304025,2
304587,1
301698,1
304491,2
300434,1
301925,1
300712,2
304056,1
301093,1
304975,1
302491,2
304707,1
301351,1
300565,1
303168,1
300420,1
304934,2
301786,1
302716,2
300482,1
302794,1
300760,1
302748,1
304669,1
304667,2
300182,3
300840,1
300203,2
300177,2
304829,1
304643,3
301313,1
303207,2
301741,1
300870,3
302575,1
304989,1
303518,1
304714,1
301725,3
302087,2
302855,1
303373,1
304493,2
303607,2
303143,1
303634,1
302153,1
304854,1
302780,2
301469,1
302078,1
300456,2
300298,1
304634,1
302229,1
303155,1
301457,2
303678,2
304752,1
302916,1
301552,2
302404,2
301366,1
303612,1
303885,1
303528,1
302301,1
302821,1
301527,2
304503,1
301489,2
304240,2
301672,2
302696,1
303633,2
300519,1
301092,1
304664,1
304570,1
301586,2
301658,1
300075,2
301971,1
301660,3
301515,1
304685,1
304006,2
300883,2
302143,1
304631,1
302098,2
303462,3
303077,1
303604,2
304059,1
300163,2
300546,1
303490,2
302980,1
301955,1
303161,1
300629,2
301519,1
302184,2
303787,2
300253,2
301076,1
304219,1
301576,1
301894,1
302431,1
304019,1
303175,2
304998,1
303132,1
301656,2
300708,2
300408,1
304472,1
302503,1
303849,1
303610,2
300187,1
301523,1
304723,2
303480,2
303632,3
303625,1
302403,1
301474,1
304542,1
300590,1
303376,1
302006,1
300863,1
302760,2
304711,2
301099,1
301826,1
301943,2
301435,2
300759,1
303539,1
302618,1
301119,2
300023,2
303855,1
303149,1
303602,2
304697,1
301917,2
304708,1
300586,1
304947,1
304796,2
303785,1
301360,1
303200,1
304555,1
301507,2
304382,1
304530,2
300610,2
301881,1
301278,1
303567,1
301333,1
301273,1
303073,1
300928,1
304699,2
303443,1
302709,2
301283,1
303621,1
303429,1
301938,1
303416,1
301084,1
301521,1
303473,1
304145,2
304231,1
304639,1
301880,3
300158,1
302292,1
304455,2
303513,1
301905,3
302877,2
301584,1
304335,1
303327,1
304666,1
303485,2
303560,3
303986,1
300297,1
303481,2
303463,1
304994,1
300700,1
303228,1
302650,2
301052,1
301860,3
302645,1
300169,2
303875,1
301209,1
301641,1
304521,1
304286,1
300029,1
304730,1
304670,2
301946,1
301254,1
304713,1
304132,1
304655,1
301530,1
304199,1
300602,1
300985,1
301477,1
300604,1
302008,1
303671,3
304763,1
302511,2
300531,2
300827,1
303963,1
301737,1
304863,2
302994,2
303725,1
300017,1
300952,1
302204,2
301148,1
303029,1
303896,2
304494,1
302209,2
301794,1
300823,1
304273,2
303336,1
303743,1
301133,1
300289,1
302411,1
301201,1
304485,1
301790,2
303447,1
303009,1
303454,1
304799,2
300515,1
301812,2
302142,2
301665,1
303026,2
300108,1
301920,1
304411,1
300113,1
300661,1
301798,2
304086,2
304728,1
302666,1
303510,1
302862,1
304743,1
302041,1
301328,2
303085,2
300810,1
303719,1
301234,1
303669,2
300841,1
301245,1
304246,1
303823,1
302131,1
303007,1
300063,2
301055,2
300570,1
301358,1
303064,1
302316,1
302756,1
303441,1
300326,1
303608,1
300806,1
304531,2
300601,2
303021,1
304042,1
303125,1
304801,1
302043,2
304093,1
304237,1
300522,2
301211,2
303501,1
304687,2
301260,2
302032,1
302274,2
302345,2
302162,1
303536,1
303459,1
302809,1
301304,1
300217,1
302225,1
302641,1
304528,2
301033,2
302494,1
303332,1
304968,1
303588,1
300850,3
304480,1
300151,2
303499,1
304079,2
304568,2
303417,2
301861,2
302574,1
301397,1
304390,1
304605,1
303653,1
304069,2
300849,2
302425,1
302603,1
302106,1
302812,2
302121,2
304726,1
302409,1
304773,1
